 retail_chain_id |      centre_id      | retailer_id |                              name                              
-----------------+---------------------+-------------+----------------------------------------------------------------
               6 | westlakes           |       51987 | Wittner
               6 | chermside           |       29427 | Wittner 
               6 | penrith             |       44650 | Wittner
               6 | carousel            |       43719 | Wittner
               6 | bondijunction       |       20897 | Wittner
               6 | doncaster           |       34324 | Wittner 
               6 | gardencity          |       43995 | Wittner
               6 | geelong             |       18011 | Wittner
               6 | southland           |        3495 | Wittner Shoes 
               6 | burwood             |       28282 | Wittner
               6 | knox                |       48658 | Wittner
               6 | woden               |       42217 | Wittner
               6 | warringahmall       |       49052 | Wittner
               6 | hurstville          |        4026 | Wittner
               6 | teatreeplaza        |       38311 | Wittner
               6 | kotara              |       31593 | Wittner
               6 | carindale           |       47716 | Wittner
               6 | fountaingate        |        4620 | Wittner
               6 | belconnen           |       43948 | Wittner
               6 | marion              |       42962 | Wittner
               6 | eastgardens         |       34238 | Wittner
               6 | parramatta          |       30872 | Wittner
               7 | kotara              |       31881 | Oroton
               7 | sydney              |       43336 | Oroton
               7 | bondijunction       |       20554 | Oroton
               7 | warringahmall       |       48866 | Oroton
               7 | miranda             |       21485 | Oroton
               7 | centrepoint         |        2685 | Oroton
               7 | marion              |       42958 | Oroton
               7 | hornsby             |        1569 | Oroton 
               7 | doncaster           |       35362 | Oroton
               7 | carindale           |       46680 | Oroton 
               7 | chermside           |       29970 | Oroton
               7 | parramatta          |        4369 | Oroton
               7 | burwood             |       34507 | Oroton
               8 | chatswood           |        1895 | Witchery
               8 | marion              |       17140 | Witchery
               8 | belconnen           |       43960 | Witchery
               8 | northlakes          |       32104 | Witchery 
               8 | miranda             |       29617 | Witchery
               8 | parramatta          |       33371 | Witchery
               8 | westlakes           |       43395 | Witchery
               8 | carousel            |       16982 | Witchery
               8 | doncaster           |       35426 | Witchery
               8 | penrith             |       39203 | Witchery
               8 | teatreeplaza        |       32617 | Witchery
               8 | kotara              |       31840 | Witchery
               8 | eastgardens         |        4905 | Witchery
               8 | gardencity          |       40367 | Witchery
               8 | southland           |        3479 | Witchery
               8 | bondijunction       |       37906 | Witchery
               8 | liverpool           |       50592 | Witchery
               8 | hornsby             |       29879 | Witchery
               8 | fountaingate        |       49367 | Witchery
               8 | warringahmall       |       49016 | Witchery
               8 | chermside           |       29967 | Witchery
               8 | burwood             |         729 | Witchery 
               8 | warringahmall       |       48880 | WitcheryKids
               8 | carindale           |       25909 | Witchery
               8 | woden               |       35816 | Witchery
               8 | knox                |       48578 | Witchery
               8 | airportwest         |       18162 | Witchery
               9 | hornsby             |       32481 | Country Road
               9 | kotara              |       31847 | Country Road
               9 | woden               |       35814 | Country Road
               9 | geelong             |       19852 | Country Road
               9 | doncaster           |        2344 | Country Road
               9 | chermside           |       29357 | Country Road
               9 | chatswood           |       36000 | Country Road
               9 | bondijunction       |       52285 | Country Road- Level 3
               9 | eastgardens         |       51373 | Country Road
               9 | penrith             |       26441 | Country Road
               9 | carindale           |       20691 | Country Road 
               9 | warringahmall       |       48895 | Country Road
               9 | whitfordcity        |       37637 | Country Road 
               9 | bondijunction       |        4555 | Country Road- Level 4
               9 | marion              |       19952 | Country Road
               9 | southland           |       29563 | Country Road
               9 | burwood             |         769 | Country Road
               9 | knox                |       48573 | Country Road
               9 | miranda             |        2893 | Country Road
              10 | warringahmall       |       48869 | Sunglass Hut
              10 | chatswood           |       26194 | Sunglass Hut
              10 | chermside           |        1394 | Sunglass Hut 
              10 | doncaster           |        2300 | Sunglass Hut
              10 | westlakes           |       24612 | Sunglass Hut
              10 | miranda             |       27903 | Sunglass Hut
              10 | chermside           |       35971 | Sunglass Hut
              10 | knox                |       48568 | Sunglass Hut
              10 | parramatta          |       16676 | Diva
              10 | innaloo             |       25960 | Sunglass Hut International
              10 | penrith             |       24854 | Sunglass Hut 
              10 | southland           |        3502 | Sunglass Hut
              10 | marion              |       17282 | Sunglass Hut- Level 1
              10 | parramatta          |        4461 | Sunglass Hut 
